comment,sentiment,PE,EE,SI,FC
bang kenapa ya punyaku tidak bisa di download?,neutral,0,0,0,0
klo bikin beberapa scene di whisk ngk bs ya bang??,neutral,0,0,0,0
kerennnn,positive,0,1,5,0
"link whisk nya ko tidak ada ya,gabisa dibuka",negative,0,1,1,0
generate gambarnya sama seperti nano banana kah bang? dan untuk video nya sama seperti veo kah?,neutral,0,0,0,0
"kalo orangnya ada 3 gmna ya? soalnya speakernya cmn ada dua,plis jawab heehe",neutral,0,1,1,0
,neutral,0,1,0,1
tai kau nii,negative,0,0,1,0
"bang,kok tidak nyambung hasilnya yang bagian buat 3 prompt lanjutan?",negative,0,0,0,0
jelek: anak di video pertama suaranya kayak orand dewasa.,negative,1,1,1,0
kak maaf web nya apa kurang jelas saya maaf,negative,0,1,1,0
hehe...terima kasih ya apresiasinya,positive,1,1,1,0
�� jejak di catat dengan baik,positive,1,0,1,0
​ .1 bikin tutor bang untuk video short kpop demon hunters,neutral,0,0,0,0
"yang dimaksud itu tekonya bukan ya? wah jeli banget nih yang komen,saya mh boro2 ngeuh heee",neutral,0,1,1,0
hehehe....iya gan namanya juga memaksimalkan sumber daya yang ada,positive,1,0,1,0
bisa gan coba aja langsung,neutral,0,1,1,0
"siap nanti saya usahakan ya,tapi saya tidak bisa pastikan kapan itu jadinya soalnya sambil bagi waktu",neutral,0,1,0,0
"​ .1 siap bang,saya setia menunggu",neutral,1,0,1,1
"waduh kayaknya lom bisa gan,ini aja aku masih dalam tahap pengembangan penuh alias fokus saya cuma masih kesitu untuk saat ini...",negative,0,1,0,0
"wah ....kita lom pernah coba di reepik ya,tp nanti akan saya usahain klo ada wkt luang",neutral,1,0,1,0
​ .1 siap bang.. ditunggu tutorialnya,neutral,0,0,0,1
hehe...iya gan thanks,neutral,0,1,1,0
"ya konsisten,cek aja langsung",positive,0,1,1,0
"aamiin...thanks doanya ya,sukses juga buatmu....",positive,1,1,1,0
kalau mau nambah kredit bisa klik di akun google lalu klik bagian kredit nanti diarahkan ke daftar harga beli kreditnya....,neutral,0,1,0,0
untuk belinya bisa pakai dana atau top up langsung di alfa atau indo...,neutral,0,1,0,1
".1 siap,bang. terima kasih. sangat bermanfaat sekali.",positive,1,0,3,1
kak.. bedanya whisk sama flow apa ya nanti,neutral,0,1,0,0
"di bagian mananya,whisk atau lemon sleace nya ???",neutral,0,1,0,0
"mungkin kendala signal kali gan jadi coba diulang pelan ya,pasti bisa kok...",neutral,1,1,0,1
bisa gan...,neutral,0,1,0,1
"ini saya buat versi pendek karena menyesuaikan kreditnya,...",neutral,0,1,0,0
​ .1 kalau menambah kredit gmna caranya ? saya sudah merasakan manfaatnya. sudah buat satu dan sangat mudah dan menarik. kreditnya nol sekarang tidak bisa dipakai lagi untuk generate ke animasinya .. mau upgrade atau berbayar gmna caranya,neutral,0,1,0,0
"​ .1 saya sudah upgrade google pro tapi knp masih ada watermark veo divedeonya ya,bang?",neutral,0,0,0,1
ok thanks gan,neutral,1,0,2,0
"oalah mudah itu,screen shoot aja bagian link yang udah aku tunjukkan di video ntr tinggal ketik sendiri di browser....",positive,0,1,0,0
utk video berikutnya nanti akan saya sertakan linknya biar audiens bisa langsung membukanya...,neutral,0,1,0,0
"iya ini whisk sekarang terintegrasi dgn nanobanana dan veo 3,",positive,0,0,0,1
jadi utk lypsinc nya tinggal animasikan aja udah otomatis lypsinc,neutral,1,1,0,0
ya berati buat vo secara terpisah lagi gan nanti tinggal gabungin di editornya...,neutral,0,1,0,0
saya rasa kurang lebihnya sperti itu...,neutral,0,1,0,0
.1 oke kak berarti buat terpisah terus di edit lagi ya,neutral,1,1,0,0
"waduh sudah rada lupa aku gan isi detail dari video ini,tapi saranku,pelajari poin pentingnya saja dari cara saya memberikan kata perintah ke chatgptnya ini,krn kalau kamu pelajari poin pentingnya ini,mau buat video apapun tidak susah gan tinggal lakukan beberapa eksperimen saja untuk mendapatkan hasil yang maksimal....",positive,1,1,1,0
"mungkin ini yang bisa saya jelaskan dan untuk detail isi video ini saya sedikit lupa karena menonton video sendiri agar tau detailnya juga nanti saya yang kena pelanggaran,jadi mohon dimaklumi dan dimaafkan....",positive,1,1,0,0
​ .1 ok bang.,neutral,1,1,0,0
iya gan kita cari suara anak kecil lom nemu jadi seadanya aja toh juga buat video contoh aja soalnya,negative,1,1,0,0
saya pakai whisk milik google,neutral,0,1,0,1
"keren channel ini,sangat mengedukasi dan bermanfaat,makasih bang",positive,1,0,5,0
berbayar pake dollar kk,neutral,0,1,0,0
"bang mau nanya kok tidak ada fitur animasikan,sama ku,tolong jawab boss",neutral,0,0,1,0
mau buat apapun lu bebas dari ai manapun yang penting berlangganan pro dulu,positive,1,1,1,1
"kak,untuk limit generate video nya emang dapet 5 yaa..? apakah itu setiap hari diperbaharui atau bagaimana..?",neutral,0,0,0,0
"saya sudah subscribe nih,,mudah2an ilmunya bermanfaat,",positive,1,1,2,1
"bang,abang edit video keren gitu pakek ai apa bang ? sumpah keren banget",positive,0,1,5,0
makasih suhu,neutral,0,0,0,0
"terimakasih untuk tutorialnya,segera dipraktekkan",positive,1,1,5,0
"lemon slice tidak gratis bg,ada alternatif lain tidak",negative,1,0,1,0
pantes jelek,negative,0,0,1,1
masih pemula yang penasaran dan mulai terjun editing. klai ada kelasnya mau dong kak,neutral,1,1,1,1
"bang plis suara nya pake siapa yang di elevenlab,dah subscribe like",neutral,0,1,1,1
mantap bng,positive,1,0,5,0
tutorial nya dong bang,neutral,0,1,1,0
,neutral,0,1,0,1
"pas nyoba pake portrait,ternyata belum mendukung untuk menganimasikan dalam bentuk portrait ya?",negative,0,0,1,1
buat konten yt pakai ai gini bisa monet dpt cuan gaji yt tidak yak,positive,0,0,1,0
"maaf nih buat saya yang tidak punya modal ini gmna tidak bg??apakah ada situs atau web,yg beneran gratis?",neutral,0,0,0,0
saya tidak biasa mengenerate pasa saat klik animasi.. komentarnya tidak dapat membiuat video.. itu kenapa ya?,negative,0,0,1,0
"baik sama,senang bisa membantu...",positive,1,0,2,1
dan doakan semoga bisa selalu memberikan yang terbaik buat audiens saya.....,positive,1,0,1,0
"lemon slicenya,pas awal masukin email disitusnya tidak dapat kredit 25. cara dapatnya gimana ya",neutral,1,1,0,0
"waduh kemungkinan sudah diupgrade juga gan kalau seperti itu,emank kebanyakan website ai awalnya ngasih trial biar banyak yang nyoba.....",neutral,0,1,0,0
nanti biar saya cek lagi gan info terbarunya soal website ini.,neutral,1,1,0,0
"yang bagian mana maksutnya,whisk? atau lemon slice nya ?",neutral,0,0,0,0
waduh kalau itu kurang tau saya soalnya rata ada fitur animasikan itu,neutral,0,1,1,0
"hehe iya gan,tapi untuk video ini saya usahain buat kreator yang masih pemula dan minim modal saya kira cara ini akan sangat membantu,tapi kalau buat anda yang pasti sudah sukses,berlangganan dengan ai manapun pasti mudah karena budged sudah mumpuni,jadi harap dimaklumi buat yang masih pemula seperti saya ini.....pisss",positive,1,1,3,1
mas saya bahkan udh bolak balik bikin prompt. karakter konsisten tapi selalu bingung di pary nyatuim semua gambarnya dan bikim video.. karna semua apk yang saya gunakan harus ke pro dlu. dan saya hanya mnhgunakan android,negative,1,1,0,1
​ kalau menggunakan website ini buka aja di browser dan ubah modenya ke dekstop biar tidak bingung pas nyocokin dgn video tutor yang saya buat ini...,neutral,0,1,0,1
"itu dibreload 1bln sekali,solusi gunakan akun gmail lainya kalau punya",neutral,1,1,0,1
​ .1 walaupun pake akun google pro tetap preloadnya 1 bulan sekali ya kak..?,neutral,0,1,0,0
baik terima kasih atas dukungannya n semoga anda sukses selalu...aamiin,positive,1,0,1,1
​ .1 aminn,neutral,0,1,0,0
masih belajar juga gan ini masih dalam tahap memperdalam....,neutral,1,1,1,1
"saya pakai filmota 14 gan,,,,",neutral,1,1,0,1
thanks komentar positifnya.,positive,1,1,0,0
masih belajar dan belum layak dipanggil suhu....,neutral,0,0,0,1
"ok sama,senang bisa membantu....",positive,1,0,5,1
"wah kita belum nemu untuk alternatif lemon slice ini,tapi coba aja hedra siapa tau cocok",neutral,1,1,1,0
"hehe,,,,yang bagian mananya pak,biar nanti saya evaluasi lagi kalau bikin konten,harap maklum kita otodidak belajarnya....",neutral,0,1,0,0
"kita juga masih dalam tahap pengembangan dan masih terus menggali ilmu teknik editing yang bagus,pantengin aja chanel ini nanti kalau ada waktu luang akan saya buat video tentang editing....",neutral,0,0,1,1
untuk suara kita pakai ( pratama ...,neutral,1,1,0,0
silahkan dicoba....,neutral,1,1,1,0
oke terima kasih banyak gan,neutral,1,0,1,0
loh ini kan udah video tutorial....,neutral,0,1,0,0
"bukan hanya potrait,yg landscape jg sering error,gak tau napa kok bs gitu",negative,0,1,1,1
"saya tdk bisa memastikan,tp yang yang pasti kalau ada nilai edukasinya saya rasa bisa monet,dan kalaupun gagal masih bisa dipakai di platform lainya sdh jelas aman.",positive,1,1,0,0
ada vheer itu gratis cb aja,neutral,0,1,1,0
"sering error emank,solusi unduh gambar dan generate di generator video lainya,",negative,0,0,1,1
terimakasih bro semoga sehat selalu dan rezekinya lancar amin,positive,1,0,1,0
kok di google tidak ada ya whisk nya,negative,0,1,1,0
min kenapa pas mau di animasikan selalu tidak bisa prompt nya itu kenapa minn?,negative,0,0,1,0
"saya sudah coba kak,tapi pas proses animate sering error dan minta ganti perintah. udah ubah-ubah tulisannya tetap masih ditolak. mohon dibantu jawab kak,sapatau ada syarat2 tertentu untuk penulisan prompt.",negative,1,1,0,0
"bang,in chat gpt yang berbayar atau bs yang free?",neutral,0,1,1,0
"mas,waktu meng animasikan di bilang,terjadi error saat menghasilkan video,silahkan coba dengan perintah yang lain,kenapa bisa gitu mas? padahal video 1 bisa...",negative,0,1,0,0
ngga perlu lipsink lagi..,positive,1,1,0,0
bang bagaimana ketika digenerate animasi diwhisk dah ada langsung audionya..tinggal langsung edit kah..penggabungan,neutral,1,0,0,1
bagaimana cara lipsink jika dalam 1 fram ada 2 karakter?,neutral,0,1,0,0
woah.... mauuuuuuuuuuuu,neutral,0,1,0,1
abg nih edit video keseluruhan pake aplikasi apa?,neutral,0,1,0,0
cara ngatasi pas generite animasi error gimana guru?,neutral,0,1,0,0
"animasikan di whisk sering error jir,akhirnya bikin tool sendiri kelar",negative,0,1,0,0
bang punya akuu di animasikan di whisk googlenya gakk mau bang,negative,0,1,0,0
ka ini gratis tidak ka,neutral,0,0,1,0
keren,positive,0,0,5,0
whist berbayar kah?,neutral,0,1,1,0
saya punya ide tapi mudahan aja konten sejarah pakai ai tidak kena pelanggaran,neutral,1,1,1,0
apakah konten ai masih aman kak?,neutral,1,0,0,0
itu pake aplikasi apa kak?,neutral,0,1,1,0
"waduh...ini apresiasi yang sangat besar buat saya,dan saya ucapkan banyak terima kasih atas doa tulusnya ini,dan doa yang sama jg dari saya utkmu...aamiin",positive,1,0,1,0
​ .1 amin amin amin,neutral,1,0,0,1
"ada ini jg buat di google,cek aja alamat link yang sudah aku selipkan di videony",neutral,0,1,1,0
"kasusnya semua gini sering error,solusi unduh gambar dan generate di generator lain...",negative,0,1,0,1
.1 contoh ai generator lain apa min,neutral,0,0,0,0
"saya sudah menjelaskan ini di banyak komentar disini,emank kalau dibuat animate sering error tidak tau napa bisa gitu mungkin masih beta kali,jadi alternatif unduh saja gambarnya dan bisa digenerate ke generator lain seperti pixverse dan lain-lain.",negative,1,1,1,1
yang free bisa,positive,0,1,1,0
"iya emank gitu sering kali error kalau langsung di generate di whisk,mungkin masih beta jadinya seperti itu,solusi unduh aja gambarnya lalu bisa animasikan di pixverse dan lain-lainya....",negative,1,1,0,1
semoga jawaban ini bisa membantu....,positive,1,0,1,0
udah langsung ada lipsyngnya ya dari whisknya?,neutral,0,1,0,0
"ya memang di whisk itu terkadang animasinya menggunakan veo 3 tapi masih sering kali error kadang bisa kadang kagak,makanya saya buat animasi terpisah gini utk alternatifnya,dan kalau langsung ada audinya itu artinya lebih bagus lagi karena mempersingkat kerja kita dan kita tinggal edit gabungin aja jadi sebuah alur ceritanya....",negative,1,0,0,0
"kalau di lemon ini belom support utk lebih dr 1 karakter,solusi generate ulang gambarnya di whisk minta buatkan satu karakter saja,..",negative,1,1,0,1
semoga membantu,positive,1,0,1,0
​ .1 terima kasih. saya sudah subscribe,neutral,0,1,0,0
pake veo3 + sound tpi prompt nya hrus benar' pas doalnya klo asal copy paste bakal ikut ngomong semua walaupun beda suara,negative,1,1,1,0
thanks udah ngebantu kasih solusi,positive,1,0,1,0
ok gan silahkan gasss,neutral,1,1,1,0
"saya pakai software filmora 14 gan,coba aja powerfull banget...",positive,1,1,2,1
klo promptnya berbahasa indonesia apa bisa ya pak? hasilnya baguskah?,neutral,0,0,1,0
"-r4g semestinya bisa gan karena ai dilatih dengan semua bahasa,tapi memang menurut info yang saya dapat hasilnya lebih bagusan kalau dibuat dgn bahasa inggris",positive,0,0,1,1
"banyak kasus seperti ini,pas generate error tapi pas besoknya kita buka tiba generat videonya sudah jadi,mungkin lagi tahap pengaplikasian ke web ini jadinya sering error,",negative,0,1,0,0
"solusi : unduh gambar generate video di generator lain misal kling,pixverse dll.",neutral,0,1,0,0
semoga jawaban ini sedikit bisa membantu....,positive,1,0,1,0
"wow....luar biasa sekali pengetahuanya,saya aja yang bikin tutor ini lom bsa bikin tool sendiri hehe....",positive,0,0,1,0
ok semoga sukses selalu gan!,positive,1,0,5,0
"iya gan emank suka error kalau langsung dianimasikan di situ,solusi unduh gambar dan animasikan di generator lain bisa pixverse,kling dan masih banyak lainya lagi...",negative,1,1,0,0
"kalau buat gambarnya gratis di whisk,kalau animate ada kuotanya 5 kali generate dlm 1 bln itupun masih sering error",neutral,0,1,0,1
​ .1 rekomendasi dong ka ai apa yang bagus dan geratis,neutral,1,0,1,0
baik terima kasih gan,neutral,1,0,1,0
"untuk generate gambar sampai saat ini masih gratis,gak tau lagi kalau kedepanya,coba aja gan langsung action lebih bagus",positive,1,1,1,0
pasti kena mas aku 2 chanel sejarah targer luar kena,neutral,0,1,0,0
kalau pelanggaran nanti bsa diterpkan di platform lain kayaknya masih aman,neutral,1,1,0,0
"bagus sekali brother,semoga sukses dengan ide nya itu dan lolos pelanggaran",positive,1,0,5,0
"kalau ada unsur ide kreatifnya insya allah aman,misal kisah inspiratif,motifasi atau dokumenter gt...",neutral,1,1,0,1
"dan kalaupun tidak lolos,masih ada alternatif lain di platform sbelah masih aman,jd jgn berfikir panjang langsung aja action...",neutral,0,1,0,1
"​ .1 oh siiap,makasih suhu",neutral,1,0,0,0
"whisk,elevendlabs dan lemon sleve",neutral,1,1,0,0
keren!,positive,0,0,5,0
"keren,,mantab abangku",positive,0,0,5,1
"bang pas saya buka website yang whisk itu kok kyk error gtu ya? layarnya item gtu,btw saya pake hp android bang,apakah tidak bisa ya kalau mengakses whisk nya lewat hp?",negative,0,0,0,1
"bang,bagaimana cara agar bisa prompt videonya menjadi 9:16",neutral,0,0,0,0
"solusi gmn,ketika animasikan video tidak bisa..suruh coba printah lain",negative,0,1,0,0
bang bagus nya laptop yang kita pakai speknya apa? karena tidak semua laptop bisa mendukung,neutral,0,0,1,1
gan untuk laptop nya biar hasilnya sesuai harus pake spesikifikasi apa ?,neutral,0,1,0,0
gan untuk laptop nya biar hasilnya sesuai harus pake spesikifikasi apa ?,neutral,0,1,0,0
prabow* = sultan receh. tapi overall keren,positive,1,0,1,0
"terimakasih bang,inspiratip sekali,cuman saya mau tanya bang kenapa ketika menganimasikan sering terjadi error generatet,",positive,1,0,1,0
"terima kasih telah menginspirasi,salam dari kebun berkah petani kecil dari bogor. semoga semua sukses selalu",positive,1,0,5,1
kren..saya jadi pengen belajar,positive,1,1,1,0
lemon slicenya berbayar ya,neutral,0,1,1,0
"kenapa saya waktu mau bukak wish,asik keluar gunakan dan bentuk alat ai untuk kreativitas.",positive,1,1,1,1
wah aku mau liat sering2 ilni utk belajar.. tidak papa diulang2,neutral,1,1,1,0
"bang tolong buatkan yang baru,versi lengkaonua dong bang,saya jadi bingung,",neutral,0,1,0,0
gue malah pusing & sakit mata sm efek² di sepanjang video.,negative,1,1,0,0
lebih baik di bikin simpel tapi jelas,positive,1,1,1,0
"bang,ko klw gambar yang potret tidak bs di bikin video bang ya hrs gambar landscap?mohon pencerahannya bang",negative,0,0,0,1
bang kalo dalam 1 frame ada 2 figur dalam 1 frame untuk menentukan siapa yang bicara duluan gimana ya?,neutral,0,1,0,0
brrti yang perlu di pro kan hanya akun gemini nya ya?,neutral,0,1,1,0
ok thanks gan,neutral,1,0,2,0
siap thanks brother...,neutral,0,1,0,1
"barusan saya buka lewat hp ternyata bisa juga nih gan,bahkan saya cek dgn akun google yang belum pro juga dapat poin 100,",neutral,0,0,1,1
dugaanku kalau tidak salah mungkin ram hpnya atau signal yang kurang mendukung,negative,0,1,0,1
​ .1 klo akses whisk tpi apakah memang harus pake vpn ya?,neutral,0,1,0,0
"setting dulu size ke 9:16 di generate gambarnya nanti animate nya ngikut,dan kalau hasilnya masih lanscape,nanti bisa crop di editor video pas mau editing",neutral,0,1,0,0
semoga membantu...,positive,1,0,1,0
"solusi,unduh gambar generate di web laon",neutral,0,1,0,0
sudah aku jawab di pertanyaan pertama,neutral,0,1,0,0
"kalau laptop menurut aku relatif ya,hanya saja minimal ram 8 keatas dan prosesor core i3,kalau saya sendiri pakai core i3 ram 16",neutral,0,1,0,1
.1 jadingak selalu harus core i7 ya bang . yang penting ram nya 16,neutral,0,0,0,1
hehe...oke thanks gan,neutral,1,0,1,0
iya gan sama....,neutral,0,1,0,0
"untuk animasinya emang gitu sering error kayaknya ini masih program baru untuk intergrasi ke web whisk ini,solusi kalau sering error gitu bisa unduh gambarnya saja dan di animasikan ke genrator lain sperti pixverce,kling dll",negative,0,1,1,0
".1 siap bang,tengkyuu info dan pelajarannya.",neutral,1,1,0,1
"aamiin....thanks buat doanya dan doa yang sama buat kamu,",positive,1,0,0,0
hal yang paling membahagiakan buat saya yakni ketika apa yang sudah kita kerjakan bisa membrikan manfaat buat orang lain.,positive,1,0,2,1
.1 aamiin,neutral,1,0,0,1
siap gan silahkan pantengin,neutral,1,1,1,1
"divideo sudah saya jelaskan,ini saya pakai versi trialnya,kalau mau full unlimited ya sudah bisa dipastikan berbayar",neutral,0,1,1,0
udah bang,neutral,0,1,0,0
"waduh kalau soal itu kita kurang paham ya gan,jadi mohon maaf saya tidak bisa berikan jawaban utk pertanyaan ini",neutral,1,1,0,0
akunya sudah pro kah?,neutral,0,1,1,1
siap gan....,neutral,0,1,0,1
"dengan senang hati bisa membantu dan memberikan manfaat buat orang lain,,,,,",positive,1,1,5,0
semoga sukses.....,positive,1,0,1,0
"baik insya allah sehabis video terbaru saya yang sedang aku kerjakan ini,akan saya buatkan ulang,tolong mohon bersabar....",neutral,1,1,0,0
buat karakter manusia bang​,neutral,0,1,0,0
​ .1 masya allah terimkasih bnyak bang,neutral,1,0,0,0
"kita buat seperti ini,terinspirasi style editingnya magnetismedia,jadi tontonya pelan-pelan saja atau tempo video bisa dipelankan biar paham...",neutral,0,1,0,0
"generating videonya suka eror emank,solusi unduh gambar dan generate dengan mesin generator lain sperti pixverse,kling dll nya",negative,0,1,1,1
"​ .1 oke bang maksih bang,moga sehat selalu",neutral,1,0,1,1
"kayakya lom support kalau dua figur sekaligus,coba gunakan generator lain seperty runway atau kling kayaknya support",neutral,1,0,1,1
"iya gan betul sekali itu,cara bikin pro banyak panduanya di youtube,n maaf kita tdk sempet buatin juga panduan itu karena keterbatasan waktu dan durasi video yang sudah terlalu panjang takutnya penonton boring jadinya",neutral,1,1,1,0
daging buat yang mau dapet duit dari ai. thx brader,neutral,1,0,1,0
ini kouta animate perhari direset tidak pak?,neutral,0,0,1,0
googlenya harus yang pro ya bga baru bisa buat kayak gitu,neutral,0,1,1,0
"aku coba buat,ternyata langsung ada suaranya pas dianimasikan. tipe realistis.",positive,0,1,1,0
maaf suhu yt lewat di berandaku,neutral,0,0,0,1
bg kalo itu dijadiin animasi trus pos yt apakah nanti bisa monet?,neutral,0,0,0,0
bg tidak ada buka kelas untuk youtube automation?,neutral,0,1,1,0
"mantap,kalo untuk bikin video klip musik dengan karakternya dari sampel anggota band bisa bang? tapi bukan animasi? mohon pencerahnnya",neutral,1,0,5,1
keren bro....,positive,0,1,5,0
saya suka video anda! apakah anda memiliki email bisnis yang dapat saya hubungi untuk menjalin kerja sama yang tulus?,positive,1,0,1,0
tapi pas mau di animasi pakai poin ya,neutral,0,1,0,0
berbayar tidak bang,neutral,0,0,1,0
mantap ilmu nya,positive,1,1,5,0
es teh panas,neutral,0,0,1,1
"tutornya ada yang ke skip,si awal tidak di kasih tau bikin prompt 5 alur cerita,tau tau si suruh generate alur cerita,gimana ni bang?",neutral,0,1,0,0
"bang,apakah nanti bs monet?",neutral,0,0,0,0
menurutku masih ribet ya. bagi pemula pasti butuh waktu yang cukup utk mengerjakan 1 video bisa berjam jam. apa tidak ada 1 website saja yang bisa memuat fitur lengkap: buat prompt sampai editing yang ada di satu website dan benaran gratis atau kreditnya bisa muat puluhan video. semua metode dari berbagai youtuber ttg isi konten buat ai nya masih mirip dan belum efektif.,negative,0,2,2,0
"mampir kedua kalinya,ini youtuber baik hati dan tidak sombong,semua komen dibalas. angkat aku jadi muridmu,guru! sukses terus yaa",positive,1,0,1,0
kalo buat video jadi lbih jernih/4k yang gratis ada tidak bang.?,neutral,0,0,1,0
prompt ??,neutral,0,1,0,0
siap sama gan semoga membantu,neutral,1,0,1,0
pastinya di reset gan 5 generate klo tidak salah,neutral,0,1,0,0
thanks info,neutral,0,1,1,0
"​ .1 wih enak nih kalau direset,farming akun.",neutral,1,1,1,1
"sejauh percobaan saya ini,aku memakai akun pro,jadi saya tidak bisa memastikan utk yang lom pro,coba aja siapa tau berhasil",neutral,0,1,1,1
"iya emnk itu veo 3 terintegrasi di web itu,hanya aja sering error kadang bisa kadang tidak",negative,0,1,1,0
​ .1 bang kenapa saya kok tidak gratis ya,neutral,1,0,1,0
jangan berlebihan gan kita juga masih sama belajar hanya saja hobi saya suka banget berbagi dengan apa yang sudah saya ketahui.....,positive,1,0,1,0
semoga sukses buatmu....,positive,1,0,1,0
"seharusnya bisa selama ada narasi yang kompleks dan ada isi edukasi di dlmnya karena banyak konten sejenis yang monet,dan kalaupun tdk bs monet,di platform lain masih aman",positive,0,0,0,0
bisa,neutral,0,1,1,1
"thanks udah bantu ngejawab dengan kepastian,biar yang lain tidak pada ragu....",positive,1,0,1,0
"kalau saya sendiri lom sukses,lom brani buat tutor automation,tp kalau dh sukses nanti insya allah saya akan share pengalaman ini",neutral,1,1,1,1
"seharusnya sih bisa gan,tp saya lom coba jadi lom bs mengatakan kepastianya",neutral,1,0,0,0
.1 siap terima kasih bang,neutral,1,0,0,1
ok terima kasih gan,neutral,1,0,1,0
"iya gan,kayaknya 100 poin itu cukup 4-5 kali generate,misal poin sdh habis bisa unduh gambarnya lalu di generate di generator lainya jg bisa",neutral,0,0,0,0
​ .1 ok terimakasih bg,neutral,1,0,0,0
"yang bagian mana,krn disini saya menggunakan dua website soalnya?",neutral,0,1,0,0
semua free apa tidak ​ .1,neutral,1,1,1,0
siap terima kasih bisa membantu,neutral,1,0,2,1
"hehe...iya gan karena keterbatasan wkt jadi kita tidak sempet generate ulang dan kasih perintah yang detail,soalnya bikin video 1 ini aja udh memakan waktu 1 minggu",neutral,0,1,0,0
"iya gan maaf banyak yang protes soal tempo yang terlalu cepat,next time insya allah akan kita buat ulang dengan cara yang sama namun dengan konsep alur cerita yang berbeda,jadi untuk sekarang mohon dimaklumi....",negative,1,0,0,0
"kalau ada narasi mengupas sesuatu misal sejarah dll,insya allah monet",neutral,1,1,0,0
"kalau 100% gratis itu sangat jarang sekali ada gan,toh tiap perusahaan ai jg tidak mau rugi,jd pasti diberi versi trial aja nanti kalau org udh ketergantungan semua pada di versi premium,ya ngertilah namanya juga bisnis pasti ada trik khusus buat pemasaranya...",neutral,1,1,0,0
kalau trik hack mungkin ada tapi resiko si kreator bakal sulit buat monet....,neutral,1,1,0,1
semoga penjelasan ini bs dimengerti dan dimaklumi,positive,1,0,0,0
"kalau bisa mudah,kemampuan premium,fitur super lengkap,dan gratis. hehe mimpi.",positive,0,1,1,1
waduh....terima kasih banyak atas pujiannya ini n semoga saya bisa konsisten terus tidak berubah agar bs memberikan pelayanan yang baik buat para pencari solusi di dunia perkontenan....,positive,1,0,1,0
kita sama belajar gan jadi mari sama belajar disini,neutral,1,1,1,0
"maksi doanya,sukses jg buatmu",positive,1,0,1,0
​ .1 : bisa monetisasi?.,neutral,0,0,0,0
"aq juga mau jadi murid nya... bocoran donk,ai mana yang masih kasih poin gratis",neutral,0,0,1,0
"hehe,,,gk ada murid dan guru disini semuanya belajar bareng....",neutral,1,1,0,1
"nanti akan saya share video seperti permintaanmu,ditunggu aja...",neutral,0,1,0,0
kita belum coba upscale video gan jadi lom bs kasih referensi utk itu,neutral,1,0,1,1
divideo kan ada gan lengkap dengan pembuatan kata perintahnya,neutral,1,1,0,0
google ai studio tidak ada percobaan gratisnya..,negative,0,0,1,1
whisk support image vertical 9:16 tidak bang,neutral,0,0,0,1
pake veo3 langsung bisa pake voice yaa kak. tidak muter² gini,positive,0,1,0,1
terima kasih ilmunya bang :)),positive,1,1,0,0
sukses selalu,positive,1,0,2,0
ajay....,neutral,1,1,0,1
inikah yang namanya es teh manis panas?,neutral,0,0,1,1
si ibu bikin nya ngebul ngebul,negative,0,1,1,0
minum nya malah seger pake es batu,positive,1,1,1,1
kelasssssss. edutnya super niat. moga istiqomah tinggal menunggu saja bakan boom viral dan terkenal ni chanel,positive,1,0,1,1
bang bisa buatkan tutorial gemini pro...krn dr tutorial yang ada di youtube...sebagian mengatakan udah tidak bisa gratisan...benar kah?..,neutral,0,1,0,1
biar kita kita yang belum pro ini bisa mempraktekkan ilmu yang abang kirim...makasih bang,positive,1,0,1,0
keren cuy,positive,0,1,5,0
terima kasih ilmunya,positive,1,0,1,0
berapa durasi per adegan di lemon ini ?,neutral,0,1,0,0
cenel lu bnyak amat bang. adssen lu ada brepa.. gua apal nada elu bng.. gua bikinkonten bingung tidak bisa naik naik,neutral,0,0,1,1
makasih kak tutorialnya,positive,0,1,1,0
"mantap cuy mau,buat lagu lipsing bahahahahahaahahahahaha",positive,1,0,5,1
"bang ngomong nya kecepetan,frame tiap video nya juga kecepetan sy jadi harus pause video buat pahamin ucapan sama video abang,padahal konten abang bagus sy bisa belajar bikin animasi dari konten ini. usahain jangan terlalu cepet ngomong sama frame video nya bang",negative,1,0,1,0
makasih bang sukses selalu ya,positive,1,0,1,0
hebat,positive,0,0,5,0
mantap bang.,positive,1,0,5,0
"bang bisa belajar tahap demi tahap nya bang saya masi belum paham mungkin ada cet pribadi atau klas blajar,",neutral,1,1,0,1
bayarr,neutral,0,1,0,0
makanya akun gmailnya di jadikan pro dulu gan biar bisa pakai,neutral,0,1,0,1
​ .1 gimana caranya bang?,neutral,0,1,0,0
"support gan,tadi barusan saya coba",neutral,1,1,1,1
"​ .1 thanks,bang. referensi baru nih. soalnya aku tidak pernah pke whisk,lebih sering di pake flow",positive,1,1,0,1
"kalau akun yang unlimited,pakai veo 3 sangat mempermudah pekerjaan ini,tapi kalau yang akun pro 1 thn perhari ada limite generate nya,jadi kalau untuk kebutuhan generate berulang cara yang saya share ini sangat membantu ditambah karakter konsisten yang dihasilkan maka bisa buat cara membuat bahan konten jangka panjang",positive,1,1,1,1
"siap gan.... dengan senang hati bisa membantu,semoga bermanfaat.",positive,1,1,5,1
teliti amat gan....,positive,1,1,0,0
"iya namanya juga generator yang free jadi pasti ada error dikit,tapi di video ini yang kita tekankan cara meraciknya gan biar orang pada tau step by stepnya...",positive,1,1,0,0
